Dist.,School,DBN,Grade Level,Type of School,Principal,Arts Education Liaision,Cultural & Arts Partners,Arts Discipline,Total Number of Students Served,Total Contact Hours Per Student,Dist.
,Eagle Academy for Young Men of Harlem,05M148,"06,07,08,09,10,SE",Middle and High School,Mahaliel H. Bethea II,Luis Landivar,Marvel Productions,Film/Media,,,
,Eagle Academy for Young Men of Harlem,05M148,"06,07,08,09,10,SE",Middle and High School,Mahaliel H. Bethea II,Luis Landivar,Sheltering Arms,Dance,,,
,Eagle Academy for Young Men of Harlem,05M148,"06,07,08,09,10,SE",Middle and High School,Mahaliel H. Bethea II,Luis Landivar,Sheltering Arms,Music,,,
,Eagle Academy for Young Men of Harlem,05M148,"06,07,08,09,10,SE",Middle and High School,Mahaliel H. Bethea II,Luis Landivar,Sheltering Arms,Theater,,,
,Eagle Academy for Young Men of Harlem,05M148,"06,07,08,09,10,SE",Middle and High School,Mahaliel H. Bethea II,Luis Landivar,Sheltering Arms,Visual Arts,,,
,Eagle Academy for Young Men of Harlem,05M148,"06,07,08,09,10,SE",Middle and High School,Mahaliel H. Bethea II,Luis Landivar,The Marching Cobras,Music,,,
,Frederick Douglass Academy,05M499,"06,07,08,09,10,11,12,SE",Middle and High School,Joseph Gates,Luis Landivar,Apollo Education,Dance,,,
,Frederick Douglass Academy,05M499,"06,07,08,09,10,11,12,SE",Middle and High School,Joseph Gates,Luis Landivar,Apollo Education,Film/Media,,,
,Frederick Douglass Academy,05M499,"06,07,08,09,10,11,12,SE",Middle and High School,Joseph Gates,Luis Landivar,Apollo Education,Music,,,
,Frederick Douglass Academy,05M499,"06,07,08,09,10,11,12,SE",Middle and High School,Joseph Gates,Luis Landivar,Aquila Theater,Theater,,,
,Frederick Douglass Academy,05M499,"06,07,08,09,10,11,12,SE",Middle and High School,Joseph Gates,Luis Landivar,Spanish Dance Arts Company,Dance,,,
,Frederick Douglass Academy,05M499,"06,07,08,09,10,11,12,SE",Middle and High School,Joseph Gates,Luis Landivar,Sports and Arts in Schools Foundation,Dance,,,
,Frederick Douglass Academy,05M499,"06,07,08,09,10,11,12,SE",Middle and High School,Joseph Gates,Luis Landivar,Sports and Arts in Schools Foundation,Theater,,,
,Frederick Douglass Academy,05M499,"06,07,08,09,10,11,12,SE",Middle and High School,Joseph Gates,Luis Landivar,Sports and Arts in Schools Foundation,Visual Arts,,,
,Frederick Douglass Academy,05M499,"06,07,08,09,10,11,12,SE",Middle and High School,Joseph Gates,Luis Landivar,Sports and Arts in Schools Foundation,Film/Media,,,
,Harlem Renaissance High School,05M285,"09,10,11,12,SE",High School,James Caputo,Annie Tomasiewicz,None,,,,
,"High School for Mathematics, Science and Engineering at City College",05M692,"09,10,11,12",High School,Crystal Bonds,Sean Dolcy,None,,,,
D5,Knowledge and Power Preparatory Academy IV (KAPPA IV) Closed,05M302,"06,07,08,SE",Middle School,,,,,,,
,Mott Hall High School,05M304,"09,10,11,12,SE",High School,Altagracia Villalona,N/A,Multicultural Music Group,Music,,,
,New Design Middle School,05M514,"06,07,08,SE",Middle School,Jeanine Benitez,N/A,Midori Foundation dba Midori & Friends,Music,,,
,P.S. 030 Hernandez/Hughes,05M030,"PK,0K,01,02,03,04,05,SE",Elementary School,Teri Stinson,Gloria Cheng,92nd Street YMCA,Music,,,
,P.S. 030 Hernandez/Hughes,05M030,"PK,0K,01,02,03,04,05,SE",Elementary School,Teri Stinson,Gloria Cheng,Opus 118,Music,,,
,P.S. 036 Margaret Douglas,05M036,"PK,0K,01,02,03,04,05,SE",Elementary School,Heather Jn Baptist,N/A,92nd Street YMCA,Music,,,
,P.S. 036 Margaret Douglas,05M036,"PK,0K,01,02,03,04,05,SE",Elementary School,Heather Jn Baptist,N/A,"Doing Art Together, Inc",Visual Arts,,,
,P.S. 046 Arthur Tappan,05M046,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Kerry Ann Hazell,Kerry-Ann Hazell,None,,,,
,P.S. 092 Mary McLeod Bethune,05M092,"PK,0K,01,02,03,04,05,SE",Elementary School,Rosa Davila,Maureen Cahalan,DOE,,,,
,P.S. 092 Mary McLeod Bethune,05M092,"PK,0K,01,02,03,04,05,SE",Elementary School,Rosa Davila,Maureen Cahalan,Harlem Children's Zone,,,,
,P.S. 123 Mahalia Jackson,05M123,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Melitina Hernandez,Jennifer Johnson,National Dance Institute,Dance,,,
,P.S. 123 Mahalia Jackson,05M123,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Melitina Hernandez,Jennifer Johnson,Studio in a School Association,Visual Arts,,,
,P.S. 125 Ralph Bunche,05M125,"PK,0K,01,02,03,04,05,SE",Elementary School,Reginald Higgins,Emmanuel Batista,Alley Pond Environmental Center,Theater,,,
,P.S. 125 Ralph Bunche,05M125,"PK,0K,01,02,03,04,05,SE",Elementary School,Reginald Higgins,Emmanuel Batista,Apple Store,Film/Media,,,
,P.S. 125 Ralph Bunche,05M125,"PK,0K,01,02,03,04,05,SE",Elementary School,Reginald Higgins,Emmanuel Batista,"Arts Horizons, Inc.",Visual Arts,,,
,P.S. 125 Ralph Bunche,05M125,"PK,0K,01,02,03,04,05,SE",Elementary School,Reginald Higgins,Emmanuel Batista,Ballet Hispanico of New York,Dance,,,
,P.S. 125 Ralph Bunche,05M125,"PK,0K,01,02,03,04,05,SE",Elementary School,Reginald Higgins,Emmanuel Batista,"Doing Art Together, Inc",Visual Arts,,,
,P.S. 125 Ralph Bunche,05M125,"PK,0K,01,02,03,04,05,SE",Elementary School,Reginald Higgins,Emmanuel Batista,Hostos Center for the Arts and Culture,Theater,,,
,P.S. 125 Ralph Bunche,05M125,"PK,0K,01,02,03,04,05,SE",Elementary School,Reginald Higgins,Emmanuel Batista,Little Orchestra Society,Music,,,
,P.S. 125 Ralph Bunche,05M125,"PK,0K,01,02,03,04,05,SE",Elementary School,Reginald Higgins,Emmanuel Batista,Magic Box Productions,Theater,,,
,P.S. 125 Ralph Bunche,05M125,"PK,0K,01,02,03,04,05,SE",Elementary School,Reginald Higgins,Emmanuel Batista,Swedish Cottage,Theater,,,
,P.S. 129 John H. Finley,05M129,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Odelphia Pierre,Krista Wozniak,Broadway Playhouse,Theater,,,
,P.S. 129 John H. Finley,05M129,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Odelphia Pierre,Krista Wozniak,Jazz Foundation,Music,,,
,P.S. 129 John H. Finley,05M129,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Odelphia Pierre,Krista Wozniak,Little Kids Rock,Music,,,
,P.S. 129 John H. Finley,05M129,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Odelphia Pierre,Krista Wozniak,Luigi Jazz Center,Dance,,,
,P.S. 129 John H. Finley,05M129,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Odelphia Pierre,Krista Wozniak,"Metropolitan Opera Guild, The",Theater,,,
,P.S. 129 John H. Finley,05M129,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Odelphia Pierre,Krista Wozniak,Museum of Modern Art,Visual Arts,,,
,P.S. 129 John H. Finley,05M129,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Odelphia Pierre,Krista Wozniak,Museum of Modern Art,Visual Arts,,,
,P.S. 129 John H. Finley,05M129,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Odelphia Pierre,Krista Wozniak,Music and the Brain,Music,,,
,P.S. 129 John H. Finley,05M129,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Odelphia Pierre,Krista Wozniak,My Plate,Dance,,,
,P.S. 129 John H. Finley,05M129,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Odelphia Pierre,Krista Wozniak,Opera on Tap,Music,,,
,P.S. 129 John H. Finley,05M129,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Odelphia Pierre,Krista Wozniak,Orchestra of St. Luke's,Music,,,
,P.S. 129 John H. Finley,05M129,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Odelphia Pierre,Krista Wozniak,Symphony Space,Theater,,,
,P.S. 129 John H. Finley,05M129,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Odelphia Pierre,Krista Wozniak,"The Whitney Museum, The",Visual Arts,,,
,P.S. 133 Fred R Moore,05M133,"PK,0K,01,02,03,04,05,SE",Elementary School,Patricia Balbuena,Patricia Balbuena,Center for Architecture,Visual Arts,,,
,P.S. 133 Fred R Moore,05M133,"PK,0K,01,02,03,04,05,SE",Elementary School,Patricia Balbuena,Patricia Balbuena,Learning Through an Expanded Arts Program (LEAP),Visual Arts,,,
,P.S. 154 Harriet Tubman,05M154,"PK,0K,01,02,03,04,05,SE",Elementary,Elizabeth Jarrett,Elizabeth Jarrett,American Ballet Theatre,Dance,,,
,P.S. 154 Harriet Tubman,05M154,"PK,0K,01,02,03,04,05,SE",Elementary,Elizabeth Jarrett,Elizabeth Jarrett,American Ballet Theatre,Dance,,,
,P.S. 154 Harriet Tubman,05M154,"PK,0K,01,02,03,04,05,SE",Elementary,Elizabeth Jarrett,Elizabeth Jarrett,Apollo Theater,Theater,,,
,P.S. 154 Harriet Tubman,05M154,"PK,0K,01,02,03,04,05,SE",Elementary,Elizabeth Jarrett,Elizabeth Jarrett,Ballet Hispanico of New York,Dance,,,
,P.S. 154 Harriet Tubman,05M154,"PK,0K,01,02,03,04,05,SE",Elementary,Elizabeth Jarrett,Elizabeth Jarrett,Shadow Box Theatre,Theater,,,
,P.S. 154 Harriet Tubman,05M154,"PK,0K,01,02,03,04,05,SE",Elementary,Elizabeth Jarrett,Elizabeth Jarrett,Studio in a School Association,Visual Arts,,,
,P.S. 154 Harriet Tubman,05M154,"PK,0K,01,02,03,04,05,SE",Elementary,Elizabeth Jarrett,Elizabeth Jarrett,TheatreWorks USA,Theater,,,
,P.S. 161 Pedro Albizu Campos,05M161,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Pamela Price Haynes,Lindsay Brown,Carnegie Hall Corporation,Music,,,
,P.S. 161 Pedro Albizu Campos,05M161,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Pamela Price Haynes,Lindsay Brown,City College Graduate Program in Theater Ed,Theater,,,
,P.S. 161 Pedro Albizu Campos,05M161,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Pamela Price Haynes,Lindsay Brown,National Dance Institute,Dance,,,
,P.S. 161 Pedro Albizu Campos,05M161,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Pamela Price Haynes,Lindsay Brown,REACH,Dance,,,
,P.S. 175 Henry H Garnet,05M175,"PK,0K,01,02,03,04,05,SE",Elementary School,Kavita Pereira,Colleen Pictor,Bartow Pell Mansion,Other,,,
,P.S. 175 Henry H Garnet,05M175,"PK,0K,01,02,03,04,05,SE",Elementary School,Kavita Pereira,Colleen Pictor,Bronx Zoo,Other,,,
,P.S. 175 Henry H Garnet,05M175,"PK,0K,01,02,03,04,05,SE",Elementary School,Kavita Pereira,Colleen Pictor,Brooklyn Academy of Music,Dance,,,
,P.S. 175 Henry H Garnet,05M175,"PK,0K,01,02,03,04,05,SE",Elementary School,Kavita Pereira,Colleen Pictor,Cloisters Museum,Visual Arts,,,
,P.S. 175 Henry H Garnet,05M175,"PK,0K,01,02,03,04,05,SE",Elementary School,Kavita Pereira,Colleen Pictor,Columbia University Arts in Education,Visual Arts,,,
,P.S. 175 Henry H Garnet,05M175,"PK,0K,01,02,03,04,05,SE",Elementary School,Kavita Pereira,Colleen Pictor,Inside Broadway / Midtown Management Group,Theater,,,
,P.S. 175 Henry H Garnet,05M175,"PK,0K,01,02,03,04,05,SE",Elementary School,Kavita Pereira,Colleen Pictor,Materials for the Arts,Visual Arts,,,
,P.S. 175 Henry H Garnet,05M175,"PK,0K,01,02,03,04,05,SE",Elementary School,Kavita Pereira,Colleen Pictor,"Metropolitan Museum of Art, The",Visual Arts,,,
,P.S. 175 Henry H Garnet,05M175,"PK,0K,01,02,03,04,05,SE",Elementary School,Kavita Pereira,Colleen Pictor,"Morgan Library, The",Visual Arts,,,
,P.S. 175 Henry H Garnet,05M175,"PK,0K,01,02,03,04,05,SE",Elementary School,Kavita Pereira,Colleen Pictor,Music and the Brain,Music,,,
,P.S. 175 Henry H Garnet,05M175,"PK,0K,01,02,03,04,05,SE",Elementary School,Kavita Pereira,Colleen Pictor,UCP - United Cerebral Palsey,Visual Arts,,,
,P.S. 175 Henry H Garnet,05M175,"PK,0K,01,02,03,04,05,SE",Elementary School,Kavita Pereira,Colleen Pictor,Young Audiences New York,Theater,,,
,P.S. 194 Countee Cullen,05M194,"PK,0K,01,02,03,04,05,SE",Elementary School,Mieasia Harris,Patrice Lewis,Learning Through an Expanded Arts Program (LEAP),Music,,,
,P.S. 197 John B. Russwurm,05M197,"PK,0K,01,02,03,04,05,SE",Elementary School,Natasha Spann,N/A,American Ballet Theatre,Dance,,,
,P.S. 200- The James Mccune Smith School,05M200,"PK,0K,01,02,03,04,05,SE",Elementary School,Renee Belton,Renee Belton,"Leadership Project, The",Music,,,
,P.S. 200- The James Mccune Smith School,05M200,"PK,0K,01,02,03,04,05,SE",Elementary School,Renee Belton,Renee Belton,"Leadership Project, The",Dance,,,
,P.S. 200- The James Mccune Smith School,05M200,"PK,0K,01,02,03,04,05,SE",Elementary School,Renee Belton,Renee Belton,"Leadership Project, The",Theater,,,
,P.S. 200- The James Mccune Smith School,05M200,"PK,0K,01,02,03,04,05,SE",Elementary School,Renee Belton,Renee Belton,"Leadership Project, The",Other,,,
,P.S. 200- The James Mccune Smith School,05M200,"PK,0K,01,02,03,04,05,SE",Elementary School,Renee Belton,Renee Belton,Studio in a School Association,Visual Arts,,,
,Teachers College Community School,05M517,"PK,0K,01,02,03,04,05,06,SE",Elementary School,Michelle Verdiner,Cynthia Barr,Teachers College,Music,,,
,The Urban Assembly School for Global Commerce,05M157,"09,10,11,12,SE",High School,Roony Vizcaino,N/A,None,,,,
,Thurgood Marshall Academy for Learning and Social Change,05M670,"06,07,08,09,10,11,12,SE",Middle and High School,Sean Davenport,Philippe Dejean,"Doing Art Together, Inc",Visual Arts,,,
,Thurgood Marshall Academy Lower School,05M318,"0K,01,02,03,04,05,SE",Elementary School,Dawn Brooks Decosta,Michele Moore,Artistic Dreams International,Visual Arts,,,
,Thurgood Marshall Academy Lower School,05M318,"0K,01,02,03,04,05,SE",Elementary School,Dawn Brooks Decosta,Michele Moore,Center Stage,--,,,
,Thurgood Marshall Academy Lower School,05M318,"0K,01,02,03,04,05,SE",Elementary School,Dawn Brooks Decosta,Michele Moore,"Doing Art Together, Inc",Visual Arts,,,
,Thurgood Marshall Academy Lower School,05M318,"0K,01,02,03,04,05,SE",Elementary School,Dawn Brooks Decosta,Michele Moore,Jazz at Lincoln Center,Music,,,
,Thurgood Marshall Academy Lower School,05M318,"0K,01,02,03,04,05,SE",Elementary School,Dawn Brooks Decosta,Michele Moore,"Juilliard School, The",Music,,,
,Thurgood Marshall Academy Lower School,05M318,"0K,01,02,03,04,05,SE",Elementary School,Dawn Brooks Decosta,Michele Moore,"Juilliard School, The",Dance,,,
,Thurgood Marshall Academy Lower School,05M318,"0K,01,02,03,04,05,SE",Elementary School,Dawn Brooks Decosta,Michele Moore,"Juilliard School, The",Music,,,
,Thurgood Marshall Academy Lower School,05M318,"0K,01,02,03,04,05,SE",Elementary School,Dawn Brooks Decosta,Michele Moore,New-York Historical Society,--,,,
,Thurgood Marshall Academy Lower School,05M318,"0K,01,02,03,04,05,SE",Elementary School,Dawn Brooks Decosta,Michele Moore,Noel Pointer Foundation Inc,Music,,,
,Thurgood Marshall Academy Lower School,05M318,"0K,01,02,03,04,05,SE",Elementary School,Dawn Brooks Decosta,Michele Moore,"Opus Dance Theatre & Community Services, Inc.",--,,,
,Thurgood Marshall Academy Lower School,05M318,"0K,01,02,03,04,05,SE",Elementary School,Dawn Brooks Decosta,Michele Moore,Studio in a School Association,Visual Arts,,,
,Thurgood Marshall Academy Lower School,05M318,"0K,01,02,03,04,05,SE",Elementary School,Dawn Brooks Decosta,Michele Moore,Studio Museum in Harlem,--,,,
,Thurgood Marshall Academy Lower School,05M318,"0K,01,02,03,04,05,SE",Elementary School,Dawn Brooks Decosta,Michele Moore,"The New Victory Theater, The",--,,,
,Urban Assembly Academy for Future Leaders,05M286,"06,07,08,SE",Middle School,Melisha Jackman,Gaudi Acosta,Lincoln Center for the Performing Arts,Theater,,,
,Urban Assembly School for the Performing Arts,05M369,"09,10,11,12,SE",High School,Meghan Mcmahon,Kahlil Russell-Starks,Martha Graham School of Contemporary Dance,Dance,,,
,Urban Assembly School for the Performing Arts,05M369,"09,10,11,12,SE",High School,Meghan Mcmahon,Kahlil Russell-Starks,Paul Taylor's American Modern Dance Theatre,Dance,,,
,A. Philip Randolph Campus High School,06M540,"09,10,11,12,SE",High School,David Fanning,Lillian Ruiz,Atlantic Theater Company,Theater,,,
,A. Philip Randolph Campus High School,06M540,"09,10,11,12,SE",High School,David Fanning,Lillian Ruiz,Creative Art Works,Other,,,
,Amistad Dual Language School,06M311,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Robin Edmonds,Amy Dulsky,Ballet Tech Foundation,Dance,,,
,Castle Bridge School,06M513,"PK,0K,01,02,03,04,05,SE",Elementary School,Julia Zuckerman,Sally Cleaver,Jazz at Lincoln Center,Music,,,
,Castle Bridge School,06M513,"PK,0K,01,02,03,04,05,SE",Elementary School,Julia Zuckerman,Sally Cleaver,WQXR,Music,,,
,City College Academy of the Arts,06M293,"06,07,08,09,10,11,12,SE",Middle and High School,Burnedette Drysdale,Gloria Adams,Carnegie Hall Corporation,Music,,,
,City College Academy of the Arts,06M293,"06,07,08,09,10,11,12,SE",Middle and High School,Burnedette Drysdale,Gloria Adams,"Juilliard School, The",Dance,,,
,City College Academy of the Arts,06M293,"06,07,08,09,10,11,12,SE",Middle and High School,Burnedette Drysdale,Gloria Adams,Materials for the Arts,Other,--,--,
,City College Academy of the Arts,06M293,"06,07,08,09,10,11,12,SE",Middle and High School,Burnedette Drysdale,Gloria Adams,Theatre Development Fund,Theater,,,
,Community Health Academy of the Heights,06M346,"06,07,08,09,10,11,12,SE",Middle and High School,Mark House,Amir Tusher,Broadway Bridges,Dance,,,
,Community Health Academy of the Heights,06M346,"06,07,08,09,10,11,12,SE",Middle and High School,Mark House,Amir Tusher,Brooklyn Museum,Visual Arts,,,
,Community Health Academy of the Heights,06M346,"06,07,08,09,10,11,12,SE",Middle and High School,Mark House,Amir Tusher,CANstruction,Visual Arts,,,
,Community Health Academy of the Heights,06M346,"06,07,08,09,10,11,12,SE",Middle and High School,Mark House,Amir Tusher,Chelsea Galleries,Visual Arts,,,
,Community Health Academy of the Heights,06M346,"06,07,08,09,10,11,12,SE",Middle and High School,Mark House,Amir Tusher,Cloisters Museum,Visual Arts,,,
,Community Health Academy of the Heights,06M346,"06,07,08,09,10,11,12,SE",Middle and High School,Mark House,Amir Tusher,Community League of the Heights Gala,Visual Arts,,,
,Community Health Academy of the Heights,06M346,"06,07,08,09,10,11,12,SE",Middle and High School,Mark House,Amir Tusher,Dance Theatre of Harlem,Dance,,,
,Community Health Academy of the Heights,06M346,"06,07,08,09,10,11,12,SE",Middle and High School,Mark House,Amir Tusher,Five Towns College,Music,,,
,Community Health Academy of the Heights,06M346,"06,07,08,09,10,11,12,SE",Middle and High School,Mark House,Amir Tusher,Focal Point Art Gallery,Visual Arts,,,
,Community Health Academy of the Heights,06M346,"06,07,08,09,10,11,12,SE",Middle and High School,Mark House,Amir Tusher,Marcus Miller In-School Musician,Music,,,
,Community Health Academy of the Heights,06M346,"06,07,08,09,10,11,12,SE",Middle and High School,Mark House,Amir Tusher,"Metropolitan Museum of Art, The",Visual Arts,,,
,Community Health Academy of the Heights,06M346,"06,07,08,09,10,11,12,SE",Middle and High School,Mark House,Amir Tusher,Museum of Modern Art,Visual Arts,,,
,Community Health Academy of the Heights,06M346,"06,07,08,09,10,11,12,SE",Middle and High School,Mark House,Amir Tusher,Museum of the City of New York,Visual Arts,,,
,Community Health Academy of the Heights,06M346,"06,07,08,09,10,11,12,SE",Middle and High School,Mark House,Amir Tusher,Pen & Brush Gallery,Visual Arts,,,
,Community Health Academy of the Heights,06M346,"06,07,08,09,10,11,12,SE",Middle and High School,Mark House,Amir Tusher,Power of the Paintbrush,Visual Arts,,,
,Community Health Academy of the Heights,06M346,"06,07,08,09,10,11,12,SE",Middle and High School,Mark House,Amir Tusher,Studio Museum in Harlem,Visual Arts,,,
,Community Math & Science Prep,06M328,"06,07,08,SE",Middle School,Olga Quiles,James Cole,Alvin Ailey Dance Foundation,Dance,,,
,Community Math & Science Prep,06M328,"06,07,08,SE",Middle School,Olga Quiles,James Cole,Creative Art Works,Visual Arts,,,
,Community Math & Science Prep,06M328,"06,07,08,SE",Middle School,Olga Quiles,James Cole,Gibney Dance Program,Dance,,,
,Community Math & Science Prep,06M328,"06,07,08,SE",Middle School,Olga Quiles,James Cole,Sugar Hill Children's Museum of Art & Storytelling,Visual Arts,,,
,Dos Puentes Elementary School,06M103,"0K,01,02,03,04,SE",Elementary School,Victoria Hunt,Clara Bello,About the Swing,Music,,,
,Dos Puentes Elementary School,06M103,"0K,01,02,03,04,SE",Elementary School,Victoria Hunt,Clara Bello,About the Swing,Music,,,
,Dos Puentes Elementary School,06M103,"0K,01,02,03,04,SE",Elementary School,Victoria Hunt,Clara Bello,About the Swing,Music,,,
,Dos Puentes Elementary School,06M103,"0K,01,02,03,04,SE",Elementary School,Victoria Hunt,Clara Bello,American Ballet Theatre,Dance,,,
,Dos Puentes Elementary School,06M103,"0K,01,02,03,04,SE",Elementary School,Victoria Hunt,Clara Bello,Ballet Tech Foundation,Dance,,,
,Dos Puentes Elementary School,06M103,"0K,01,02,03,04,SE",Elementary School,Victoria Hunt,Clara Bello,Ballet Tech Foundation,Dance,,,
,Dos Puentes Elementary School,06M103,"0K,01,02,03,04,SE",Elementary School,Victoria Hunt,Clara Bello,Bronx Zoo,Visual Arts,,,
,Dos Puentes Elementary School,06M103,"0K,01,02,03,04,SE",Elementary School,Victoria Hunt,Clara Bello,Bronx Zoo,Other,,,
,Dos Puentes Elementary School,06M103,"0K,01,02,03,04,SE",Elementary School,Victoria Hunt,Clara Bello,Caravana Cultural,Music,,,
,Dos Puentes Elementary School,06M103,"0K,01,02,03,04,SE",Elementary School,Victoria Hunt,Clara Bello,Daedelus String Quartet,Music,,,
,Dos Puentes Elementary School,06M103,"0K,01,02,03,04,SE",Elementary School,Victoria Hunt,Clara Bello,Leave It Better,Film/Media,,,
,Dos Puentes Elementary School,06M103,"0K,01,02,03,04,SE",Elementary School,Victoria Hunt,Clara Bello,Leave it Better - Bronx Botanical Gardens,Other,,,
,Dos Puentes Elementary School,06M103,"0K,01,02,03,04,SE",Elementary School,Victoria Hunt,Clara Bello,Museum of Modern Art,Visual Arts,,,
,Dos Puentes Elementary School,06M103,"0K,01,02,03,04,SE",Elementary School,Victoria Hunt,Clara Bello,Museum of Modern Art,Visual Arts,,,
,Dos Puentes Elementary School,06M103,"0K,01,02,03,04,SE",Elementary School,Victoria Hunt,Clara Bello,Orpheus Chamber Orchestra,Music,,,
,Dos Puentes Elementary School,06M103,"0K,01,02,03,04,SE",Elementary School,Victoria Hunt,Clara Bello,Paul Taylor's American Modern Dance Theatre,Dance,,,
,Dos Puentes Elementary School,06M103,"0K,01,02,03,04,SE",Elementary School,Victoria Hunt,Clara Bello,Paul Taylor's American Modern Dance Theatre,Dance,,,
,Dos Puentes Elementary School,06M103,"0K,01,02,03,04,SE",Elementary School,Victoria Hunt,Clara Bello,Studio in a School Association,Visual Arts,,,
,Dos Puentes Elementary School,06M103,"0K,01,02,03,04,SE",Elementary School,Victoria Hunt,Clara Bello,Studio in a School Association,Visual Arts,,,
,Dos Puentes Elementary School,06M103,"0K,01,02,03,04,SE",Elementary School,Victoria Hunt,Clara Bello,Studio in a School Association,Visual Arts,,,
,Dos Puentes Elementary School,06M103,"0K,01,02,03,04,SE",Elementary School,Victoria Hunt,Clara Bello,"The New Victory Theater, The",Theater,,,
,Dos Puentes Elementary School,06M103,"0K,01,02,03,04,SE",Elementary School,Victoria Hunt,Clara Bello,"The New Victory Theater, The",Theater,,,
,Dos Puentes Elementary School,06M103,"0K,01,02,03,04,SE",Elementary School,Victoria Hunt,Clara Bello,Wave Hill,Visual Arts,,,
,Gregorio Luperon High School for Science and Mathematics,06M552,"09,10,11,12",High School,Yecenia Cardoza,Yecenia Delarosa,Association of Dominican Classical Artists,Music,,,
,Hamilton Grange Middle School,06M209,"06,07,08,SE",Middle School,Benjamin Lev,N/A,CITYarts,Visual Arts,,,
,Hamilton Grange Middle School,06M209,"06,07,08,SE",Middle School,Benjamin Lev,N/A,Creative Art Works,Visual Arts,,,
,Hamilton Grange Middle School,06M209,"06,07,08,SE",Middle School,Benjamin Lev,N/A,MAMA Foundation,Music,,,
,Hamilton Grange Middle School,06M209,"06,07,08,SE",Middle School,Benjamin Lev,N/A,Musical Theater International (Disney),Theater,,,
,Hamilton Grange Middle School,06M209,"06,07,08,SE",Middle School,Benjamin Lev,N/A,People's Theatre Project,Other,,,
,Hamilton Grange Middle School,06M209,"06,07,08,SE",Middle School,Benjamin Lev,N/A,Urban Word NYC,Other,,,
,Hamilton Heights School,06M368,"0K,01,02,03,04,05,SE",Elementary School,Deirdre Budd,N/A,Aaron Davis Hall,Dance,,,
,Hamilton Heights School,06M368,"0K,01,02,03,04,05,SE",Elementary School,Deirdre Budd,N/A,Bronx Zoo,Other,,,
,Hamilton Heights School,06M368,"0K,01,02,03,04,05,SE",Elementary School,Deirdre Budd,N/A,Brooklyn Historical Society,--,--,--,
,Hamilton Heights School,06M368,"0K,01,02,03,04,05,SE",Elementary School,Deirdre Budd,N/A,Jose Limon Dance Company,Dance,,,
,Hamilton Heights School,06M368,"0K,01,02,03,04,05,SE",Elementary School,Deirdre Budd,N/A,Manhattan Borough Arts Festival,Dance,,,
,Hamilton Heights School,06M368,"0K,01,02,03,04,05,SE",Elementary School,Deirdre Budd,N/A,"Metropolitan Museum of Art, The",Visual Arts,,,
,Hamilton Heights School,06M368,"0K,01,02,03,04,05,SE",Elementary School,Deirdre Budd,N/A,Museum of Arts & Design,Visual Arts,,,
,Hamilton Heights School,06M368,"0K,01,02,03,04,05,SE",Elementary School,Deirdre Budd,N/A,Museum of Chinese in America,Visual Arts,,,
,Hamilton Heights School,06M368,"0K,01,02,03,04,05,SE",Elementary School,Deirdre Budd,N/A,Museum of Natural History,Visual Arts,,,
,Hamilton Heights School,06M368,"0K,01,02,03,04,05,SE",Elementary School,Deirdre Budd,N/A,Museum of Natural History,Visual Arts,,,
,Hamilton Heights School,06M368,"0K,01,02,03,04,05,SE",Elementary School,Deirdre Budd,N/A,Sugar Hill Children's Museum of Art & Storytelling,Visual Arts,,,
,Hamilton Heights School,06M368,"0K,01,02,03,04,05,SE",Elementary School,Deirdre Budd,N/A,United Palace of Cultural Arts,Music,,,
,Harbor Heights,06M349,"06,07,08",Middle School,Monica Klehr,Monica Klehr,American Ballroom Theatre,Dance,,,
,High School for Excellence and Innovation,06M423,"09,10,11,12,SE",High School,Tyona Washington,Laura Ricca,None,,,,
,High School for Health Careers and Sciences,06M468,"09,10,11,12,SE",High School,Javier Trejo,Iana Mardirosyan,"Opus Dance Theatre & Community Services, Inc.",Dance,,,
